,f1-score,precision,recall,support
0,0.9017779524192614,0.8919011544011543,0.930875936233079,285.0
1,0.7670254348825778,0.8134920634920635,0.7533446712018141,118.0
2,0.5195745216209192,0.5220359666788238,0.5416722166722169,418.0
3,0.7280007103647088,0.7175994640280355,0.7879895897753043,217.0
4,0.7252725068911106,0.7084851897789373,0.7588735774172192,615.0
5,0.4019909984195698,0.3559523809523809,0.5687074829931975,115.0
6,0.0,0.0,0.0,61.0
7,0.6261377167723917,0.7154195011337868,0.5864478114478114,198.0
8,0.015873015873015872,0.023809523809523808,0.011904761904761904,50.0
9,0.023809523809523808,0.023809523809523808,0.023809523809523808,23.0
macro avg,0.5316045942888931,0.5386589609334959,0.5598195615281378,2100.0
micro avg,0.6752380952380953,0.6752380952380953,0.6752380952380953,2100.0
weighted avg,0.6598961437152001,0.6721164376765449,0.6752380952380953,2100.0
