,hitrate
0,0.43493101751027197
1,0.4681058792991181
2,0.4907601035895357
3,0.005560480124925513
4,0.7038570853689928
5,0.20882663682027355
6,1.0
7,0.12647278098311848
8,0.734861354783185
9,1.0
10,0.426211074768963
11,0.0
12,0.5899749040793363
13,0.22670558620744677
14,0.36402896049867134
15,0.28147525555734537
16,1.0
17,0.26197548631063095
18,0.29464986239092394
19,0.34435723746653957
20,0.9992296050080162
21,0.368129799882329
22,0.24673406377232085
23,0.2125173473385198
24,0.3152119908016693
25,1.0
26,0.5946447203932425
27,0.45747732755644227
28,0.0
29,0.0
30,0.2808192326141147
31,0.0
32,0.6061638860806077
33,0.41728539563178046
34,0.20198164966875976
35,0.0
36,0.8399772539620067
37,1.0
38,1.0
39,0.7920722211842796
40,0.0
41,0.6851932243402825
42,0.5572178595042627
43,0.0
44,0.24058250767663672
45,1.0
46,1.0
47,0.010882281196023635
48,0.22428512301394288
49,1.0
50,1.0
51,1.0
52,0.1587887688872228
53,0.6163935505671087
54,1.0
55,0.10366269803591727
56,0.9669533947348645
57,1.0
58,0.6294521578237615
59,0.6423250249280118
60,0.20017911981108885
61,1.0
62,0.039983046033623876
63,0.3093826318216761
64,1.0
65,0.2142982091288692
66,0.54190244478285
67,0.2646295087606003
68,1.0
69,0.5423122182187156
70,0.9363447048190047
71,0.8695572802039938
72,1.0
73,0.38978962004756545
74,1.0
75,0.7665091636185849
76,0.24865324546682743
77,0.37614367042901414
78,0.0
79,0.4363295957625519
80,0.8742949548429451
81,1.0
82,0.2516207030456488
83,0.27341678830650923
84,0.05593977619937153
85,0.25313446653362215
86,0.179660445546125
87,0.6834762924523994
88,0.03551343412874779
89,1.0
90,0.10921911256854831
91,0.9990724408298407
92,0.5880896421654842
93,0.1862269916391417
94,0.8666666666666667
95,1.0
96,0.6951602998555662
97,0.17346976614748458
98,1.0
99,1.0
