,hitrate
0,0.5332988496149274
1,0.8329944688530513
2,0.8180460573953134
3,0.6259432719961687
4,0.8934453970230481
5,0.4759337983667519
6,0.04569986246757526
7,0.4269778200171305
8,0.25513594841059395
9,0.6350737207544548
10,0.2450400465647449
11,1.0
12,1.0
13,0.5294079053105029
14,0.3202718351621414
15,0.8254554443442345
16,0.23884478229532874
17,0.544849449819138
18,0.19554722913662698
19,0.4240845582078256
20,0.8305965269420648
21,0.38396709520689576
22,0.5446944038592313
23,0.844511359852647
24,0.2278804177947746
25,0.800154614361203
26,0.9380050197253395
27,0.8903880863375491
28,0.46559935337013353
29,0.03291618643768976
30,0.42489091837090487
31,0.788941374670397
32,0.5909081530022836
33,0.894498182421241
34,0.1442646135932469
35,0.7848771500095297
36,0.25691761083713344
37,1.0
38,0.4844932034868983
39,0.469868184415353
40,0.37053248550652945
41,0.24940635103127906
42,0.4902095154592729
43,0.2427149119767823
44,0.29758400746772123
45,0.2496093082696414
46,0.35500237872377965
47,0.0
48,0.275923719839379
49,0.18363529307617865
50,0.451231463836758
51,0.5255490826980519
52,1.0
53,0.6639760536156335
54,1.0
55,0.02409953336393633
56,0.08282257254730059
57,0.5957368277311925
58,0.13545976343480007
59,0.43772454480504275
60,0.016556506304545537
61,0.28159883008753056
62,0.3203191233516445
63,0.3324620107047828
64,0.5590124445845701
65,0.8337236533957846
66,0.26474868874831403
67,0.08757299824462204
68,0.27582561626232627
69,0.0
70,0.6357406991886677
71,0.7894206500748606
72,0.7289272579549401
73,0.0
74,0.0
75,0.2574158008723017
76,0.6064084811109427
77,0.3153005541101507
78,0.6935241584178284
79,0.4064740392362076
80,0.4861229760162549
81,0.4424382519976775
82,0.17526853283793498
83,0.0
84,0.613546053190174
85,1.0
86,0.1723981825394425
87,0.33347668364766686
88,0.3664264786165823
89,0.26301094806189834
90,0.0
91,0.3390932702614362
92,1.0
93,0.2693840342621426
94,0.36499989451938863
95,0.6038359894325177
96,0.6459479582272912
97,0.05514566764863866
98,0.16809719829552527
99,0.45782884693924364
