,hitrate
0,0.5628568912497474
1,0.08368128911426286
2,0.6726159817329365
3,0.0
4,1.0
5,0.34027055110651594
6,0.9363905040980472
7,0.14448770465918148
8,0.04740562690611276
9,0.7671531240110716
10,0.3810118592661559
11,0.40631256483551553
12,0.4372853419328873
13,0.1670973541043216
14,0.08218302793640274
15,0.31441043819718517
16,0.23949386072926027
17,0.44591003448368294
18,0.1925075892849118
19,1.0
20,0.23467586099351434
21,0.4581357461432208
22,0.9553557146903845
23,0.2971848504406073
24,0.5269354175795983
25,0.07416026016777336
26,0.0
27,0.23642087283514374
28,0.2371207676587505
29,0.004891085834392737
30,0.9656112113792986
31,0.0
32,0.2830894861240698
33,0.07877563953014136
34,0.18527070290167325
35,0.0
36,0.0
37,0.664720662307089
38,0.7327166656589912
39,0.5292488404469519
40,0.3087792128249078
41,0.9748953974895397
42,0.48941881326178516
43,0.4281299680647031
44,0.31102632682263176
45,0.5238554092603142
46,0.4783517938628189
47,0.37686427548305107
48,0.29734983781023894
49,0.9578293601789672
50,0.5084288412712691
51,0.5372289017470665
52,0.14064383565400407
53,0.2068094079235593
54,0.5268364782117054
55,0.2197126176961789
56,0.2751038623768166
57,0.30232740505680344
58,1.0
59,0.30382477372946015
60,0.1345420081452417
61,0.30555460041670557
62,0.38371136611270124
63,0.5748562736554601
64,0.2643347718167942
65,0.826371946027203
66,0.08306917260432675
67,0.18624673676724596
68,0.553239542906027
69,0.8552290616456539
70,0.02824368036090512
71,0.9448186868863718
72,0.25418735815581983
73,0.5155932112733073
74,0.7002892448543304
75,0.09524483270520592
76,0.3948885134647765
77,1.0
78,0.0
79,0.5132452463875874
80,0.2694335538155137
81,0.9316234940504133
82,1.0
83,0.2864884973587982
84,0.16513717484254875
85,0.43534401823866553
86,0.184868136020525
87,0.4716883154882936
88,0.046803508004536296
89,0.21587372417548498
90,0.0
91,0.21198435562994672
92,0.22495643353365047
93,1.0
94,0.998418348364045
95,0.1574680051653946
96,0.6758185431788079
97,0.8332150633558105
98,0.1920089033519102
99,0.039086868440566094
