,f1-score,precision,recall,support
0,0.913446862407499,0.9129329004329001,0.9282304335875763,285.0
1,0.7613565006422152,0.8214285714285713,0.7414399092970522,118.0
2,0.5161185960293404,0.5169756169756168,0.5368152350295207,418.0
3,0.7361440846734967,0.729107400535972,0.7919578437435582,217.0
4,0.7268781462030567,0.7043934853007168,0.7626647267440828,615.0
5,0.4208668315811172,0.377286470143613,0.5792517006802723,115.0
6,0.0,0.0,0.0,61.0
7,0.629288506389347,0.7086451247165533,0.5955747955747955,198.0
8,0.015873015873015872,0.023809523809523808,0.011904761904761904,50.0
9,0.023809523809523808,0.023809523809523808,0.023809523809523808,23.0
macro avg,0.5340557118275329,0.5423646303060297,0.5589927351620542,2100.0
micro avg,0.6771428571428572,0.6771428571428572,0.6771428571428572,2100.0
weighted avg,0.6623402552580353,0.6737977550137545,0.6771428571428572,2100.0
