,hitrate
0,1.0
1,0.0
2,0.184782134797644
3,0.04126145447935359
4,1.0
5,0.45058063924714803
6,0.449139436356112
7,0.6961631021283782
8,0.8932153366572307
9,1.0
10,1.0
11,0.35807884175042787
12,0.0
13,1.0
14,1.0
15,0.42648200239154427
16,0.1093661085332085
17,1.0
18,0.9544228863752386
19,0.2410542084092997
20,1.0
21,0.0
22,0.0
23,1.0
24,0.0
25,1.0
26,1.0
27,1.0
28,0.7890822612836529
29,0.0
30,0.0
31,1.0
32,1.0
33,0.6457966023847915
34,0.5138660242433335
35,1.0
36,0.9916963226571768
37,0.9280575539568344
38,1.0
39,0.35393466246034067
40,1.0
41,1.0
42,1.0
43,0.29364700533161053
44,0.4819477156287899
45,0.0
46,0.0
47,0.5933011023337297
48,0.07104719698605583
49,1.0
50,0.7316488483747301
51,0.0
52,0.398912167678361
53,0.0
54,1.0
55,0.4673062902047124
56,0.8145320258827901
57,1.0
58,0.0
59,0.05849205452978689
60,0.20625296904262327
61,0.0
62,1.0
63,0.0
64,1.0
65,0.0
66,0.12244897959183675
67,0.33552311389397627
68,0.0
69,1.0
70,0.5559849088893325
71,0.0
72,0.39307758611756133
73,0.0
74,0.5948380821522181
75,0.687102982321865
76,0.9224455792164267
77,0.5
78,0.0
79,0.0
80,0.6141760340575834
81,0.4767232011529895
82,1.0
83,0.5365763299234642
84,1.0
85,0.0
86,1.0
87,1.0
88,1.0
89,0.0
90,0.0
91,0.3317228408021543
92,0.5887465556827294
93,1.0
94,0.0
95,1.0
96,0.9897172236503856
97,0.0
98,1.0
99,0.40076780562765035
100,0.3872981196600304
101,1.0
102,0.9889908256880734
103,1.0
104,0.59783684901704
105,0.0
106,1.0
107,0.6538461538461539
108,0.24250476126963216
109,1.0
110,0.0
111,0.0
112,1.0
113,0.0
114,0.0
115,1.0
116,1.0
117,0.0
118,1.0
119,1.0
120,1.0
121,0.4418763727051404
122,1.0
123,0.0
124,1.0
125,0.3871956774381401
126,0.0
127,0.921879242984539
128,1.0
129,0.0
130,0.140683271921123
131,0.27887553988578095
132,0.0
133,0.0
134,1.0
135,0.9903474903474903
136,0.38853618192285544
137,1.0
138,0.26632220289946157
139,0.0
140,1.0
141,0.0
142,0.0
143,0.12488274197951539
144,0.26980950431198975
145,0.5673029943854313
146,1.0
147,0.0
148,0.03504234266242702
149,0.0
150,1.0
151,0.6609239632000088
152,0.9889617393578247
153,1.0
154,0.6047901575148263
155,0.6978704698271275
156,1.0
157,0.0
158,0.0
159,0.10461315334485483
160,1.0
161,0.0
162,1.0
163,0.20831387735856885
164,0.9777754017172686
165,0.0
166,0.516167213144607
167,0.9701494723340164
168,0.2521929429701257
169,1.0
170,1.0
171,0.39203740545056753
172,1.0
173,0.6069821918470429
174,0.5057251908396947
175,0.39892965455518437
176,1.0
177,1.0
178,0.4733342944160433
179,0.598679430688255
180,0.0
181,0.5565206062887115
182,0.0
183,0.0025466315165121804
184,0.0
185,1.0
186,1.0
187,0.0
188,1.0
189,0.6956706937100097
190,0.48275241460142765
191,0.830057347423585
192,0.951219512195122
193,1.0
194,0.0
195,0.0
196,0.0
197,0.6995801738863971
198,0.5365763299234642
199,0.90301513668751
