,hitrate
0,0.0
1,0.0
2,0.08035665229109429
3,0.3972692126832496
4,0.0
5,0.7753119964903185
6,0.0
7,0.18713768605050354
8,0.5421985846723544
9,0.0
10,1.0
11,0.0
12,0.37312265903726516
13,0.0
14,1.0
15,0.0
16,0.10987668987617265
17,0.0
18,0.0
19,0.0
20,0.0
21,0.6238322938625445
22,0.21686103865599304
23,0.5428396302838914
24,0.0
25,0.0
26,0.0
27,0.0
28,1.0
29,0.7514066204849879
30,1.0
31,0.4691259568473808
32,0.0
33,1.0
34,1.0
35,0.21571515446536346
36,0.0
37,0.1783523914959232
38,0.7870824867635349
39,0.2038201493431116
40,0.0
41,0.0
42,0.5051668333420865
43,0.2741029723216063
44,0.0
45,0.3110129733188699
46,0.41176504068033404
47,0.5409980984935686
48,0.0
49,0.0
