,hitrate
0,0.0
1,0.020502319690051316
2,0.2946125392356469
3,0.0
4,0.0
5,0.007030624009075648
6,0.0
7,0.0
8,0.0
9,0.0
10,0.16172898947567727
11,0.006071935280680776
12,0.0012286525482632239
13,0.0
14,0.02183210295931994
15,0.03675418939966969
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.019235782570451988
25,0.0
26,0.008910811561745682
27,0.0
28,0.0
29,0.27800310584500676
30,0.0006695120452581758
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0006949348727332922
37,0.0
38,0.24968091347108
39,0.3921123822622395
40,0.0
41,0.2300776459754026
42,0.7203868014867307
43,0.31556277186893317
44,0.03320481464660466
45,0.07096463484005332
46,0.0
47,0.0008451593759456303
48,0.0
49,0.0
50,0.0
51,0.0
52,0.01496623210456265
53,0.27468031886451105
54,0.004699197832412036
55,0.0
56,0.0009919714050711645
57,0.0
58,0.001453044657162
59,0.0
60,0.00136225836071528
61,0.0
62,0.0
63,0.0
64,0.0
65,0.13110830501232573
66,0.0
67,0.0
68,0.0
69,0.05886981758325165
70,0.018266950911426036
71,0.0
72,0.0
73,0.27992530730358745
74,0.2668217263417631
75,0.015177790567309592
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.5063280682489311
83,0.0
84,0.0
85,0.0
86,0.008205581894124793
87,0.0033543528054992954
88,0.0011405796897641237
89,0.023522745560322363
90,0.0
91,0.0
92,0.0
93,0.0003067028460214062
94,0.07691699727965176
95,0.0
96,0.0
97,0.0
98,0.0022956651587454887
99,0.0
