,hitrate
0,0.0
1,0.17484297555688313
2,0.0
3,0.8829073230924546
4,0.42805472116332527
5,0.5052701719087661
6,0.0
7,0.23054358214959056
8,0.6180142415149565
9,0.4548838091797248
10,0.0
11,0.8871540135531456
12,0.0
13,0.0655199295438894
14,0.0
15,0.9634898943454855
16,0.0
17,0.0
18,0.0016719292572732988
19,0.0
20,0.2328508845307362
21,0.9515665653006227
22,0.404924752226086
23,0.5901937920784169
24,0.7271206729735858
25,0.0
26,0.11483038832428584
27,0.0
28,0.34556031662246767
29,0.0
30,0.0
31,0.23340716028152342
32,0.0
33,0.0
34,0.20766621159812362
35,0.0
36,0.0
37,0.3382615399827356
38,0.13345577212568369
39,0.2459293465859783
40,0.3703196717081307
41,0.9867414611323149
42,0.0
43,0.0
44,0.0
45,0.16421228417710035
46,0.0
47,0.0
48,0.0
49,0.0
