,hitrate
0,0.3879083027605604
1,0.11313876328718912
2,0.1559603959277223
3,0.29416236413093316
4,0.7144770336071616
5,0.19731183936482055
6,0.007109935778744564
7,0.7692526258843113
8,0.040570795874306675
9,0.06832519544035312
10,0.3935906562337973
11,0.6127718258076071
12,0.5824454889895275
13,0.3378674182997511
14,0.4226222563409501
15,0.30216811724665366
16,0.0618276466910593
17,0.4653384394086518
18,0.20942844876970673
19,0.2263762548341527
20,0.33287492680011554
21,0.07488469632866235
22,0.02220201940426913
23,0.5185441667651058
24,0.06400089974525935
25,0.9537115023892702
26,0.12596944240247318
27,0.8528109441265858
28,0.8571487480337867
29,0.06486332672606941
30,0.46868373420858184
31,0.4045025192593943
32,0.918593482540132
33,0.3220620068442649
34,0.4208573326090427
35,0.3542241791848155
36,0.027389972950133592
37,0.05459515578282505
38,0.05719283926516153
39,0.39182376742840663
40,0.7799007736358549
41,0.33357175084849866
42,0.2870484128238106
43,0.0
44,0.2896842752628121
45,1.0
46,0.05221367860966546
47,0.15389279447730586
48,0.5197304308667814
49,0.07996325859539523
50,0.30740763435458746
51,0.8252071191728624
52,0.2504110453530676
53,0.5126070346829524
54,0.18357968690734683
55,0.5253288269864809
56,0.8582158751962293
57,0.2182637386221303
58,0.3029661415536027
59,0.2591360875215827
60,0.06590458870890656
61,0.03318536013435426
62,0.5191009375512092
63,0.16758995920977657
64,0.14080530391174326
65,0.5426333078222536
66,0.19165284538525262
67,0.11583097821825931
68,0.014584233199671696
69,0.012459358137358078
70,0.005952183561759222
71,0.5597778581623482
72,0.4336478232394861
73,0.1873497200368151
74,0.011661767660209273
75,0.8626112732585408
76,0.19923107825459102
77,0.3689902572815325
78,0.15679161334519248
79,0.19144713045375378
80,0.02916497434794006
81,0.03396066858772889
82,0.2605538896403452
83,0.04712353896645767
84,0.4516284826833675
85,0.007952468632563362
86,0.5824395986339431
87,0.29480742044504255
88,0.23991975711972507
89,0.011952243907429098
90,0.786524550266583
91,0.52291765139298
92,0.7607532034805364
93,0.6222046333535738
94,0.3516124071277304
95,0.3369031333280036
96,0.5306758103637818
97,0.35698915406764686
98,0.013218816445354626
99,0.023894710370163705
