,hitrate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.01492528051196139
5,0.0
6,0.0
7,0.0
8,0.011177034752887444
9,0.0
10,0.43546566355853256
11,0.6706242263764609
12,0.0
13,0.0
14,0.0
15,0.0017632329337134503
16,0.004251392443189012
17,0.0
18,0.0
19,0.0012715195159913126
20,0.0
21,0.0
22,0.000722241403023089
23,0.0
24,0.0
25,0.41413976967972405
26,0.005550157428743584
27,0.0
28,0.22109278990995895
29,0.0
30,0.01610429835310757
31,0.009431337100363472
32,0.00038484336502719754
33,0.0
34,0.004566534594265649
35,0.0
36,0.0
37,0.0
38,0.002560693897168073
39,0.07437714122389905
40,0.025692470895255424
41,0.21168086176483328
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.001109928213455618
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0006678234585691103
57,0.529999741606993
58,0.0
59,0.32570392931889547
60,0.0
61,0.0
62,0.0
63,0.004730296846276315
64,0.004344206204493017
65,0.0
66,0.0
67,0.0
68,0.004519115286804538
69,0.26955293917467277
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.15934648085141703
76,0.0
77,0.0
78,0.0076081688908308034
79,0.002044286129381215
80,0.0
81,0.0044858617368809224
82,0.0791643585591985
83,0.0834942968744589
84,0.0
85,0.30078566499781645
86,0.1768987366777365
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.44325374947213736
93,0.0
94,0.0
95,0.0
96,0.0033305875315636636
97,0.0014996645470791699
98,0.022577365436932655
99,0.035785114567533444
