,hitrate
0,0.0
1,0.0
2,0.1706785929134514
3,1.0
4,0.009353195159150061
5,0.0
6,0.0
7,0.4499143122510397
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.9148809167995439
14,0.0
15,0.0
16,0.004235140321795818
17,0.8430804640461994
18,0.0
19,0.0
20,0.7196278288049685
21,0.5925572633300752
22,0.005033597066830845
23,0.000364635044637524
24,0.9967333717198765
25,0.20945000178995937
26,0.0
27,0.0
28,0.2226318053804309
29,0.0
30,0.0
31,0.31594445771464136
32,0.26976493897696874
33,0.0
34,0.0
35,0.0
36,0.011750253445463654
37,0.0
38,0.3238401457423075
39,0.0
40,0.30078566499781645
41,0.4254661785785635
42,0.011328334007722726
43,0.13657022172115127
44,0.0
45,0.49051788676072244
46,0.19700149644536308
47,0.659085154465333
48,0.4651752664769486
49,0.0
