,hitrate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.4413928362236353
62,0.5065266125572262
63,0.38265706434983665
64,0.5241237167935887
65,0.08878344227933319
66,0.11017608020519781
67,0.19731812953213543
68,0.04680659897572643
69,0.4254661785785635
70,0.20883803697901657
71,0.1427361859391687
72,0.528694775104738
73,0.29059443134526103
74,0.29722675942854293
75,0.7888106208856295
76,0.19942205635169946
77,0.6031006537829995
78,0.4168739971201771
79,0.5133525008285303
80,0.004220099088643281
81,0.4040362327628949
82,0.2594886211800974
83,0.4788751143343136
84,0.143533792183787
85,0.707870151666469
86,0.22482198454529126
87,0.5874051466092919
88,0.3278836250795524
89,0.510340992799139
90,0.6823230142517248
91,0.3205388491147261
92,0.36966840937338635
93,0.23683409688776613
94,0.30251929374454617
95,0.16017215183522368
96,0.27591067424409216
97,0.12367992994858837
98,0.30840281415912285
99,0.324081735695696
