,hitrate
0,0.01571565755871185
1,0.8617534023845643
2,0.14907370300144449
3,0.01649843347379488
4,0.2339062330642068
5,0.3605248462097162
6,0.5806765820735568
7,0.5673142547637083
8,0.7048853018420319
9,0.18393061081048293
10,0.9452452446506729
11,0.32841125053829073
12,0.79113483858692
13,0.4086606625035625
14,0.7749386816671064
15,0.307607238572029
16,0.42452786273552423
17,0.16446134931744874
18,0.6864998872506085
19,0.075191492836972
20,0.05700129753677123
21,0.13582740126552248
22,0.45591911767180365
23,0.2272934290656155
24,0.044864817326977065
25,0.9967333717198765
26,0.7006051210243299
27,0.3998491338320691
28,0.8274596762790178
29,0.12268139740485114
30,0.2551934967862593
31,0.32393404335487197
32,0.20562119696036835
33,0.009506334834769965
34,0.014297389953277272
35,0.05591726673592699
36,0.11128488631393664
37,0.09856299580916933
38,0.1486755679291279
39,0.3889761248835427
40,0.41493126683495213
41,0.06615200313939476
42,0.696150004155419
43,0.08177605213153727
44,0.0
45,0.0030047582047819737
46,0.7064077438209432
47,0.8445325909917916
48,0.5255019488486838
49,0.24718750439870968
50,0.46488025192319943
51,0.5452279185381107
52,0.4959655534278921
53,0.7916981492539189
54,0.3281494071400357
55,0.26057367821878163
56,0.19265267385774684
57,0.41851293659507466
58,0.4791168656516052
59,0.2887694705667541
60,0.9080824970838582
61,1.0
62,0.4790453662208386
63,0.9148809167995439
64,0.19118479883289807
65,0.46817096564491373
66,0.8716757906059256
67,0.13941126632728273
68,0.08363530079324699
69,0.36998551047246836
70,0.6046706527342306
71,0.5003763093684184
72,1.0
73,0.8430804640461994
74,0.6420489557599264
75,0.37752586004182154
76,1.0
77,0.4259058102075111
78,0.14653893313573402
79,0.3842100810591154
80,0.41363169164217545
81,0.6109746689605029
82,0.7762110767119401
83,0.9418296585516096
84,0.7220199756905741
85,0.1379918813417023
86,0.22463257567441122
87,0.1878820910958175
88,0.15106165790961218
89,0.9664917497096635
90,0.02958316329424258
91,0.8708828831479367
92,0.24024615733357388
93,0.7172324798508829
94,0.41780768996809126
95,0.2543055026417825
96,0.29136445025658964
97,0.750003213274465
98,0.1578230406515325
99,0.4678485078079538
