,hitrate
0,1.0
1,1.0
2,1.0
3,0.12184520846867286
4,0.6821747104035208
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,0.6202638312739354
13,0.6402216360052774
14,1.0
15,0.8258788975138239
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,0.8859878316236498
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,0.9166666666666667
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.1978081770777757
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.9008581842164477
49,1.0
50,1.0
51,1.0
52,1.0
53,0.7766444383111643
54,1.0
55,0.011467512819313356
56,1.0
57,1.0
58,1.0
59,0.9908209190023013
60,1.0
61,0.09848886052680973
62,1.0
63,0.8013245372198508
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,0.2622013801125451
70,1.0
71,0.6475898710713688
72,1.0
73,1.0
74,0.0
75,0.285009000954005
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,0.9431612490442889
84,0.9987796992513767
85,1.0
86,0.769640708063231
87,1.0
88,0.33219863464466937
89,1.0
90,0.7623961087606254
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
