,hitrate
0,1.0
1,0.0
2,1.0
3,0.7446549852763931
4,1.0
5,0.5318660602026336
6,1.0
7,0.3029121401933477
8,0.0
9,1.0
10,0.688523881755189
11,1.0
12,0.9985740574166523
13,0.7922486309906027
14,0.27842943980619517
15,1.0
16,0.8411878811562498
17,0.5470048465943674
18,1.0
19,0.32854895176471255
20,0.363358966556625
21,0.0
22,0.921879242984539
23,0.28218471993465666
24,1.0
25,0.0
26,0.4055588482372034
27,0.16792073705545676
28,1.0
29,0.5547337424496248
30,0.10341895709363087
31,0.13983992368278192
32,0.4773689960270186
33,0.01673164484469288
34,0.6469061399152928
35,1.0
36,0.3872486099170307
37,0.0026224841760514477
38,1.0
39,0.26684774481484036
40,1.0
41,0.0
42,1.0
43,1.0
44,0.22305582202047713
45,0.5531820222970577
46,0.398912167678361
47,1.0
48,0.10069470920137061
49,1.0
50,0.0
51,0.16972710636754212
52,0.44997975643216115
53,0.3921150351136842
54,1.0
55,0.6401749552562576
56,0.34903037023402017
57,0.0
58,1.0
59,0.22396131158981936
60,1.0
61,1.0
62,0.6793330838398886
63,0.5747004125284362
64,0.3000567589247541
65,0.5985575194214583
66,1.0
67,1.0
68,1.0
69,1.0
70,0.05170808603606788
71,1.0
72,0.3258873530459876
73,0.5179216892259952
74,0.0
75,1.0
76,0.6457966023847915
77,0.5052880770502666
78,0.6800598975239373
79,0.10461315334485483
80,0.5365763299234642
81,0.9282815110418761
82,0.42682026969041714
83,0.8278243528804866
84,0.5
85,0.0
86,1.0
87,0.0
88,0.43869417165854213
89,1.0
90,0.5777835592808229
91,0.979300237487723
92,0.33932764323717335
93,1.0
94,0.9889617393578247
95,0.616424057934415
96,0.1792550687401132
97,0.4987871633894913
98,1.0
99,0.0
