,hitrate
0,1.0
1,0.0
2,0.0
3,0.7870824867635349
4,0.0
5,0.08479584561194536
6,0.0
7,0.5051668333420865
8,0.0
9,0.2430121849109687
10,0.0
11,1.0
12,0.0
13,0.2138484235307153
14,0.0
15,0.9704142011834319
16,0.41216838647130893
17,0.0
18,0.0
19,0.0
20,0.6238322938625445
21,1.0
22,0.0
23,0.7753119964903185
24,0.15458822139677855
25,0.0
26,0.5421985846723544
27,0.2327608730380887
28,0.0
29,0.4298085686885046
30,0.0
31,0.0
32,0.5017881969772693
33,0.5838749709012734
34,1.0
35,0.5432561312578095
36,0.8765944237774703
37,0.0
38,0.2306655387279315
39,1.0
40,0.0
41,0.003162595372295583
42,0.0
43,0.8699614845584664
44,0.18204333035318382
45,0.0
46,0.0
47,0.3701361778762374
48,1.0
49,0.0
50,0.09390354180497507
51,0.3992668943864419
52,0.6309233658775697
53,0.0
54,0.0
55,0.0
56,0.023299702969637962
57,0.0
58,0.5037394784402819
59,0.25453851825514107
60,0.0
61,0.7514066204849879
62,0.24871769675462202
63,0.0
64,0.0
65,1.0
66,1.0
67,0.0
68,0.4525547652584021
69,0.0
70,0.9424829440764902
71,0.20382014934311155
72,0.0
73,0.0
74,0.3110129733188699
75,0.0
76,0.6987936910652771
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.19904959666194508
83,0.19801298733145983
84,0.3858499196294496
85,0.0
86,0.0
87,1.0
88,1.0
