subsequence,sprot_start,sprot_end,sprot_loc,dl_start,dl_end,dl_loc
"['MAAAAGRSAW', 'MAAAAGRSAW']","[1, 1]","[10, 10]","['Mitochondrion intermembrane space', 'Mitochondrion intermembrane space']","[0, 0]","[10, 10]",Mitochondrion
"['MLH', 'MLH', 'MLH', 'RYAVY', 'DPGSK', 'DPGSK', 'DPGSK', 'QRGDY', 'QRGDY', 'RYAVY', 'RYAVY', 'DPGSK', 'DPGSK', 'DPGSK', 'DPGSK', 'DPGSK', 'DPGSK', 'DPGSK', 'DPGSK', 'QTPRI', 'DPGSK', 'DPGSK', 'DPGSK', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'DPGSK', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH', 'MLH']","[1, 1, 1, 74, 23, 9, 333, 148, 148, 98, 98, 241, 236, 123, 120, 444, 1117, 1118, 284, 1281, 1445, 1443, 1443, 86, 86, 70, 21, 56, 74, 15, 2, 124, 128, 42, 83, 1, 3, 53, 112, 109, 87, 85, 85, 59, 162, 110, 160, 231, 233, 145, 234, 7, 22, 81, 138, 1, 183, 138, 1, 89, 1, 146, 159, 210, 238, 76, 76, 76, 158, 149, 292, 290, 14, 14, 15, 215, 1, 349, 148, 275, 60, 58, 165, 165, 266]","[3, 3, 3, 78, 27, 13, 337, 152, 152, 102, 102, 245, 240, 127, 124, 448, 1121, 1122, 288, 1285, 1449, 1447, 1447, 88, 88, 72, 23, 58, 76, 19, 4, 126, 130, 44, 85, 3, 5, 55, 114, 111, 89, 87, 87, 61, 164, 112, 162, 233, 235, 147, 236, 9, 24, 83, 140, 3, 185, 140, 3, 91, 3, 148, 161, 212, 240, 78, 78, 78, 160, 151, 294, 292, 16, 16, 17, 217, 3, 351, 150, 277, 62, 60, 167, 167, 268]","['Cell membrane', 'Cell membrane', 'Cell membrane', 'Peroxisome membrane', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Endoplasmic reticulum', 'Endoplasmic reticulum', 'Nucleus', 'Secreted', 'Secreted', 'Endomembrane system', 'Cell membrane', 'Secreted', 'Secreted', 'Secreted', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Membrane', 'Membrane', 'Membrane', 'Membrane', 'Early endosome', 'Endoplasmic reticulum', 'Cytoplasm', 'Cell membrane', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Mitochondrion', 'Vacuole membrane', 'Vacuole membrane', 'Cytoplasm', 'Membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus envelope', 'Mitochondrion outer membrane', 'Cell membrane', 'Mitochondrion inner membrane', 'Mitochondrion inner membrane', 'Mitochondrion inner membrane', 'Cytoplasm', 'Cell membrane', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cell membrane', 'Mitochondrion', 'Mitochondrion membrane', 'Cytoplasm', 'Membrane', 'Membrane', 'Vacuole membrane', 'Membrane', 'Nucleus', 'Cytoplasm', 'Cell membrane', 'Late endosome membrane', 'Late endosome membrane', 'Late endosome membrane', 'Mitochondrion', 'Mitochondrion', 'Early endosome', 'Secreted', 'Cell membrane', 'Cell membrane', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Membrane', 'Lysosome', 'Lysosome', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm']","[0, 0, 0, 30, 21, 21, 21, 43, 43, 30, 30, 21, 21, 21, 21, 21, 21, 21, 21, 205, 21, 21, 21, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 3, 35, 26, 26, 26, 48, 48, 35, 35, 26, 26, 26, 26, 26, 26, 26, 26, 210, 26, 26, 26, 3, 3, 3, 3, 3, 3, 26, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",Cell.membrane
"['MSMLAERRRKQKWAV', 'MSMLAERRRKQKWAV', 'MSMLAERRRKQKWAV', 'MSMLAERRRKQKWAV']","[1, 1, 1, 1]","[15, 15, 15, 15]","['Nucleus', 'Nucleus', 'Nucleus', 'Nucleus']","[0, 0, 0, 0]","[15, 15, 15, 15]",Nucleus
"['MKAADEPA', 'MKAADEPA', 'SAKYR', 'QVKGP', 'QVKGP', 'QVKGP', 'QVKGP', 'QVKGP', 'SAKYR', 'SAKYR', 'QVKGP', 'SAKYR', 'SAKYR', 'SAKYR', 'QVKGP', 'QVKGP', 'QVKGP', 'SAKYR', 'SAKYR', 'QVKGP', 'SAKYR', 'QVKGP', 'QVKGP', 'SAKYR', 'QVKGP', 'QVKGP', 'SAKYR', 'QVKGP', 'QVKGP', 'QVKGP', 'SAKYR', 'SAKYR', 'QVKGP', 'QVKGP', 'QVKGP', 'SAKYR', 'QVKGP', 'MKAADEPA', 'MKAADEPA', 'QVKGP', 'SAKYR', 'SAKYR', 'SAKYR', 'SAKYR', 'QVKGP', 'QVKGP', 'SAKYR', 'SAKYR', 'QVKGP', 'QVKGP', 'QVKGP', 'QVKGP']","[1, 1, 81, 220, 220, 220, 85, 85, 522, 522, 428, 17, 17, 486, 106, 112, 684, 6207, 6168, 128, 210, 187, 290, 521, 341, 546, 17, 106, 704, 106, 2047, 2046, 1040, 1040, 1053, 522, 1040, 1, 1, 58, 32, 81, 53, 371, 186, 452, 235, 521, 573, 547, 547, 547]","[8, 8, 85, 224, 224, 224, 89, 89, 526, 526, 432, 21, 21, 490, 110, 116, 688, 6211, 6172, 132, 214, 191, 294, 525, 345, 550, 21, 110, 708, 110, 2051, 2050, 1044, 1044, 1057, 526, 1044, 8, 8, 62, 36, 85, 57, 375, 190, 456, 239, 525, 577, 551, 551, 551]","['Nucleus', 'Nucleus', 'Membrane', 'Peroxisome', 'Peroxisome', 'Peroxisome', 'Membrane', 'Membrane', 'Membrane', 'Membrane', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Nucleus', 'Secreted', 'Secreted', 'Cell junction', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Cytoplasm', 'Cell membrane', 'Nucleus envelope', 'Membrane', 'Plastid', 'Periplasm', 'Nucleus', 'Secreted', 'Cytoplasm', 'Secreted', 'Membrane', 'Membrane', 'Virion', 'Virion', 'Virion', 'Membrane', 'Virion', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Mitochondrion', 'Host nucleus', 'Cell membrane', 'Cytoplasm', 'Virion membrane', 'Membrane', 'Cell membrane', 'Periplasm', 'Periplasm', 'Periplasm']","[0, 0, 16, 54, 54, 54, 54, 54, 16, 16, 54, 16, 16, 16, 54, 54, 54, 16, 16, 54, 16, 54, 54, 16, 54, 54, 16, 54, 54, 54, 16, 16, 54, 54, 54, 16, 54, 0, 0, 54, 16, 16, 16, 16, 54, 54, 16, 16, 54, 54, 54, 54]","[8, 8, 21, 59, 59, 59, 59, 59, 21, 21, 59, 21, 21, 21, 59, 59, 59, 21, 21, 59, 21, 59, 59, 21, 59, 59, 21, 59, 59, 59, 21, 21, 59, 59, 59, 21, 59, 8, 8, 59, 21, 21, 21, 21, 59, 59, 21, 21, 59, 59, 59, 59]",Nucleus
['MSKVARSSSES'],[1],[11],['Cytoplasm'],[0],[11],Cytoplasm
"['MSKGK', 'GSNVV', 'VLYEG', 'GSNVV', 'VLYEG', 'ELGIR', 'RIAEA', 'VLYEG', 'VLYEG', 'GSNVV', 'GSNVV', 'GSNVV', 'GSNVV', 'GSNVV', 'MSKGK', 'KITVT', 'KITVT', 'KITVT', 'VLYEG', 'VLYEG', 'MSKGK', 'ELGIR', 'VLYEG', 'VLYEG', 'VLYEG', 'KITVT', 'NLKLC', 'MSKGK', 'MSKGK', 'RIAEA', 'RIAEA', 'RIAEA', 'ELGIR', 'ELGIR', 'ELGIR', 'ELGIR', 'ELGIR', 'KITVT', 'KITVT', 'KITVT', 'RIAEA', 'RIAEA', 'RIAEA', 'VLYEG', 'DHVDLE', 'NLKLC', 'NLKLC', 'MSKGK', 'GSNVV', 'VLYEG', 'VLYEG', 'GSNVV', 'GSNVV', 'KITVT', 'KITVT', 'KITVT', 'ELGIR', 'ELGIR', 'ELGIR', 'ELGIR', 'VLYEG', 'RIAEA', 'RIAEA', 'RIAEA', 'GSNVV', 'GSNVV', 'GSNVV', 'ELGIR', 'ELGIR', 'ELGIR', 'ELGIR', 'KITVT', 'MSKGK', 'RIAEA', 'RIAEA', 'RIAEA', 'ELGIR', 'ELGIR', 'ELGIR', 'ELGIR', 'RIAEA']","[1, 52, 38, 77, 141, 71, 103, 269, 270, 193, 192, 55, 99, 42, 1, 128, 125, 126, 363, 358, 287, 37, 394, 394, 394, 31, 553, 881, 410, 226, 219, 251, 259, 35, 318, 326, 321, 549, 842, 839, 330, 273, 147, 107, 3183, 328, 978, 930, 359, 103, 103, 982, 981, 754, 762, 1200, 213, 112, 29, 128, 718, 618, 618, 503, 755, 749, 271, 58, 58, 58, 696, 268, 482, 1067, 160, 506, 60, 60, 60, 1076, 1902]","[5, 56, 42, 81, 145, 75, 107, 273, 274, 197, 196, 59, 103, 46, 5, 132, 129, 130, 367, 362, 291, 41, 398, 398, 398, 35, 557, 885, 414, 230, 223, 255, 263, 39, 322, 330, 325, 553, 846, 843, 334, 277, 151, 111, 3188, 332, 982, 934, 363, 107, 107, 986, 985, 758, 766, 1204, 217, 116, 33, 132, 722, 622, 622, 507, 759, 753, 275, 62, 62, 62, 700, 272, 486, 1071, 164, 510, 64, 64, 64, 1080, 1906]","['Cytoplasm', 'Nucleus', 'Membrane', 'Cytoplasm', 'Mitochondrion', 'Cytoplasm', 'Cytoplasm', 'Apical cell membrane', 'Apical cell membrane', 'Mitochondrion', 'Mitochondrion', 'Cell membrane', 'Mitochondrion intermembrane space', 'Peroxisome', 'Cytoplasm', 'Mitochondrion matrix', 'Mitochondrion matrix', 'Mitochondrion matrix', 'Mitochondrion matrix', 'Mitochondrion matrix', 'Membrane', 'Endoplasmic reticulum membrane', 'Nucleus', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Golgi apparatus membrane', 'Cytoplasm', 'Cytoplasm', 'Secreted', 'Secreted', 'Golgi apparatus membrane', 'Mitochondrion', 'Nucleus', 'Cytoplasm', 'Secreted', 'Secreted', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Golgi apparatus membrane', 'Cytoplasm', 'Golgi apparatus', 'Cytoplasm', 'Cell junction', 'Nucleus', 'Cytoplasm', 'Membrane', 'Cytoplasmic vesicle membrane', 'Cytoplasmic vesicle membrane', 'Cell membrane', 'Cell membrane', 'Membrane', 'Endoplasmic reticulum membrane', 'Nucleus', 'Golgi apparatus', 'Golgi apparatus', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Nucleus', 'Nucleus', 'Mitochondrion', 'Cytoplasm', 'Cytoplasm', 'Secreted', 'Mitochondrion matrix', 'Mitochondrion matrix', 'Mitochondrion matrix', 'Nucleus', 'Membrane', 'Nucleus', 'Secreted', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus']","[0, 118, 8, 118, 8, 29, 81, 8, 8, 118, 118, 118, 118, 118, 0, 110, 110, 110, 8, 8, 0, 29, 8, 8, 8, 110, 87, 0, 0, 81, 81, 81, 29, 29, 29, 29, 29, 110, 110, 110, 81, 81, 81, 8, 99, 87, 87, 0, 118, 8, 8, 118, 118, 110, 110, 110, 29, 29, 29, 29, 8, 81, 81, 81, 118, 118, 118, 29, 29, 29, 29, 110, 0, 81, 81, 81, 29, 29, 29, 29, 81]","[5, 123, 13, 123, 13, 34, 86, 13, 13, 123, 123, 123, 123, 123, 5, 115, 115, 115, 13, 13, 5, 34, 13, 13, 13, 115, 92, 5, 5, 86, 86, 86, 34, 34, 34, 34, 34, 115, 115, 115, 86, 86, 86, 13, 105, 92, 92, 5, 123, 13, 13, 123, 123, 115, 115, 115, 34, 34, 34, 34, 13, 86, 86, 86, 123, 123, 123, 34, 34, 34, 34, 115, 5, 86, 86, 86, 34, 34, 34, 34, 86]",Cytoplasm
['MKVKVSG'],[1],[7],['Nucleus'],[0],[7],Nucleus
"['GRSSMARC', 'SLSVY', 'SLSVY', 'HTVMAS', 'LKSAS', 'GDREQ', 'GDREQ', 'LKSAS', 'VDSSC', 'VDSSC', 'VDSSC', 'VDSSC', 'VSPPSS', 'GDREQ', 'LKSAS', 'QVPLR', 'VDSSC', 'VSPPSS', 'VSPPSS', 'SLSVY', 'SLSVY', 'SLSVY', 'SLSVY', 'LKSAS', 'LKSAS', 'GDREQ', 'GDREQ', 'QVPLR', 'QVPLR', 'QVPLR', 'VSPPSS', 'VSPPSS', 'RLSYG', 'RLSYG', 'RLSYG', 'RLSYG', 'SLSVY', 'SLSVY', 'SLSVY', 'LKSAS', 'LKSAS', 'LKSAS', 'LKSAS', 'LKSAS', 'LKSAS', 'LKSAS', 'GDREQ', 'SLSVY', 'SLSVY', 'LKSAS', 'LKSAS', 'LKSAS', 'LKSAS', 'QVPLR', 'QVPLR', 'RLSYG', 'VDSSC', 'VDSSC', 'VDSSC', 'VDSSC', 'VDSSC', 'VDSSC', 'VDSSC', 'GDREQ', 'GDREQ', 'GDREQ', 'VPLDS', 'VPLDS', 'VPLDS', 'VPLDS', 'SLSVY', 'LKSAS', 'LKSAS', 'LKSAS', 'LKSAS', 'LKSAS', 'LKSAS', 'QVPLR', 'QVPLR', 'QVPLR', 'RLSYG', 'RLSYG', 'RLSYG', 'QVPLR']","[28, 83, 83, 158, 5, 2, 2, 91, 308, 308, 80, 240, 261, 93, 54, 206, 380, 592, 377, 203, 110, 110, 76, 231, 227, 545, 557, 222, 379, 378, 1007, 1007, 301, 361, 357, 357, 259, 259, 368, 223, 223, 223, 2, 136, 135, 391, 572, 335, 271, 69, 128, 433, 383, 441, 331, 24, 1013, 1007, 434, 501, 501, 995, 942, 1021, 796, 225, 27, 559, 372, 843, 251, 124, 56, 713, 713, 36, 851, 641, 641, 641, 764, 779, 1179, 130]","[35, 87, 87, 163, 9, 6, 6, 95, 312, 312, 84, 244, 266, 97, 58, 210, 384, 597, 382, 207, 114, 114, 80, 235, 231, 549, 561, 226, 383, 382, 1012, 1012, 305, 365, 361, 361, 263, 263, 372, 227, 227, 227, 6, 140, 139, 395, 576, 339, 275, 73, 132, 437, 387, 445, 335, 28, 1017, 1011, 438, 505, 505, 999, 946, 1025, 800, 229, 31, 563, 376, 847, 255, 128, 60, 717, 717, 40, 855, 645, 645, 645, 768, 783, 1183, 134]","['Secreted', 'Secreted', 'Secreted', 'Secreted', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Cell membrane', 'Nucleus', 'Cytoplasm', 'Endomembrane system', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Nucleus', 'Nucleus', 'Endoplasmic reticulum membrane', 'Mitochondrion inner membrane', 'Mitochondrion inner membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Late endosome', 'Late endosome', 'Cell membrane', 'Cell membrane', 'Nucleus', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Nucleus', 'Nucleus', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Mitochondrion inner membrane', 'Secreted', 'Secreted', 'Late endosome membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Mitochondrion', 'Peroxisome matrix', 'Nucleus', 'Nucleus', 'Nucleus', 'Secreted', 'Cytoplasm', 'Membrane', 'Membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Nucleus', 'Membrane', 'Cell membrane', 'Cytoplasm', 'Nucleus', 'Early endosome membrane', 'Cell membrane', 'Nucleus', 'Golgi apparatus', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Nucleus', 'Cell projection', 'Cell projection', 'Cell projection', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Endosome']","[27, 82, 82, 483, 227, 1594, 1594, 227, 1055, 1055, 1055, 1055, 202, 1594, 227, 2782, 1055, 202, 202, 82, 82, 82, 82, 227, 227, 1594, 1594, 2782, 2782, 2782, 202, 202, 490, 490, 490, 490, 82, 82, 82, 227, 227, 227, 227, 227, 227, 227, 1594, 82, 82, 227, 227, 227, 227, 2782, 2782, 490, 1055, 1055, 1055, 1055, 1055, 1055, 1055, 1594, 1594, 1594, 1036, 1036, 1036, 1036, 82, 227, 227, 227, 227, 227, 227, 2782, 2782, 2782, 490, 490, 490, 2782]","[35, 87, 87, 489, 232, 1599, 1599, 232, 1060, 1060, 1060, 1060, 208, 1599, 232, 2787, 1060, 208, 208, 87, 87, 87, 87, 232, 232, 1599, 1599, 2787, 2787, 2787, 208, 208, 495, 495, 495, 495, 87, 87, 87, 232, 232, 232, 232, 232, 232, 232, 1599, 87, 87, 232, 232, 232, 232, 2787, 2787, 495, 1060, 1060, 1060, 1060, 1060, 1060, 1060, 1599, 1599, 1599, 1041, 1041, 1041, 1041, 87, 232, 232, 232, 232, 232, 232, 2787, 2787, 2787, 495, 495, 495, 2787]",Extracellular
"['MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS', 'MISS']","[39, 23, 1, 215, 215, 76, 313, 254, 333, 349, 164, 214, 318, 68, 57, 473, 1, 1, 147, 354, 329, 328, 93, 93, 93, 37, 129, 404, 148, 148, 111, 111, 108, 196, 196, 196, 167, 88, 169, 169, 48, 548, 211, 1, 93, 523, 368, 417, 1, 870, 870, 613, 67, 558, 387, 476, 480, 862, 1, 458, 458, 158, 494, 1, 109, 215, 201, 694, 684, 81, 725, 1005, 1115, 427, 1, 255, 185, 177, 829, 117, 599, 186, 1215, 744, 550, 624, 140, 1019, 1075, 1084, 486, 813]","[42, 26, 4, 218, 218, 79, 316, 257, 336, 352, 167, 217, 321, 71, 60, 476, 4, 4, 150, 357, 332, 331, 96, 96, 96, 40, 132, 407, 151, 151, 114, 114, 111, 199, 199, 199, 170, 91, 172, 172, 51, 551, 214, 4, 96, 526, 371, 420, 4, 873, 873, 616, 70, 561, 390, 479, 483, 865, 4, 461, 461, 161, 497, 4, 112, 218, 204, 697, 687, 84, 728, 1008, 1118, 430, 4, 258, 188, 180, 832, 120, 602, 189, 1218, 747, 553, 627, 143, 1022, 1078, 1087, 489, 816]","['Nucleus', 'Secreted', 'Mitochondrion', 'Cytoplasm', 'Cytoplasm', 'Mitochondrion inner membrane', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Mitochondrion inner membrane', 'Nucleus', 'Mitochondrion inner membrane', 'Mitochondrion inner membrane', 'Nucleus', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Lysosome', 'Cytoplasm', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Peroxisome membrane', 'Cytoplasm', 'Membrane', 'Nucleus', 'Nucleus', 'Mitochondrion matrix', 'Mitochondrion matrix', 'Mitochondrion', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Peroxisome', 'Membrane', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Secreted', 'Microsome membrane', 'Membrane', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Membrane', 'Endoplasmic reticulum membrane', 'Bud tip', 'Nucleus', 'Nucleus', 'Golgi apparatus', 'Cell projection', 'Nucleus', 'Cytoplasm', 'Cell membrane', 'Lipid droplet', 'Endoplasmic reticulum membrane', 'Nucleus matrix', 'Nucleus', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Membrane', 'Membrane', 'Nucleus matrix', 'Nucleus matrix', 'Membrane', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Cell junction', 'Membrane', 'Nucleus', 'Cell junction', 'Cytoplasm', 'Cell membrane', 'Cell membrane', 'Endoplasmic reticulum lumen', 'Nucleus', 'Apical cell membrane', 'Membrane', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Cell junction', 'Cytoplasm']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",Plastid
['WINCPPVFSSSPSSRRYQSRSDLYL'],[6],[30],['Nucleus'],[5],[30],Nucleus
