subsequence,sprot_start,sprot_end,sprot_loc,dl_start,dl_end,dl_loc
"['MSTQSTHP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'MSTQSTHP', 'MSTQSTHP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP', 'GIPESP']","[1, 458, 458, 482, 470, 2496, 457, 458, 482, 482, 811, 46, 1, 19, 456, 458, 458, 482, 470, 489, 470, 470, 470, 470, 2496]","[8, 463, 463, 487, 475, 2501, 462, 463, 487, 487, 816, 53, 8, 24, 461, 463, 463, 487, 475, 494, 475, 475, 475, 475, 2501]","['Cytoplasm', 'Membrane', 'Membrane', 'Cell membrane', 'Cell membrane', 'Membrane', 'Membrane', 'Membrane', 'Cell membrane', 'Cell membrane', 'Secreted', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Membrane', 'Membrane', 'Cell membrane', 'Cell membrane', 'Virion', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Membrane']","[0, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 0, 0, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","[8, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 8, 8, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]",Endoplasmic.reticulum
"['TRTVV', 'TFQTA', 'TFQTA', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TFQTA', 'TFQTA', 'TFQTA', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TFQTA', 'TFQTA', 'TFQTA', 'TFQTA', 'TRTVV', 'TRTVV', 'TFQTA', 'TFQTA', 'TFQTA', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TFQTA', 'TFQTA', 'TFQTA', 'TFQTA', 'TFQTA', 'TFQTA', 'TRTVV', 'TRTVV', 'TRTVV', 'TFQTA', 'TFQTA', 'TRTVV', 'TRTVV', 'TRTVV', 'TFQTA', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TFQTA', 'TFQTA', 'TRTVV', 'TRTVV', 'TRTVV', 'TRTVV', 'TFQTA', 'TRTVV', 'TFQTA', 'TFQTA', 'TFQTA', 'TFQTA']","[56, 232, 74, 71, 339, 150, 308, 91, 670, 451, 41, 331, 83, 615, 976, 854, 854, 183, 79, 76, 79, 139, 33, 33, 300, 111, 56, 236, 124, 104, 104, 339, 123, 344, 344, 343, 343, 654, 111, 216, 786, 794, 974, 424, 153, 619, 547, 669, 330, 502, 83, 1709, 498, 16, 16, 1164, 3121, 232, 405, 14, 448, 21, 158, 33, 74, 124, 124, 56]","[60, 236, 78, 75, 343, 154, 312, 95, 674, 455, 45, 335, 87, 619, 980, 858, 858, 187, 83, 80, 83, 143, 37, 37, 304, 115, 60, 240, 128, 108, 108, 343, 127, 348, 348, 347, 347, 658, 115, 220, 790, 798, 978, 428, 157, 623, 551, 673, 334, 506, 87, 1713, 502, 20, 20, 1168, 3125, 236, 409, 18, 452, 25, 162, 37, 78, 128, 128, 60]","['Secreted', 'Cytoplasm', 'Lysosome membrane', 'Cell membrane', 'Secreted', 'Cytoplasm', 'Membrane', 'Lipid droplet', 'Nucleus', 'Endoplasmic reticulum membrane', 'Nucleus', 'Cell membrane', 'Cytoplasmic granule', 'Golgi apparatus', 'Nucleus', 'Membrane', 'Membrane', 'Endoplasmic reticulum lumen', 'Nucleus', 'Nucleus', 'Nucleus', 'Nucleus', 'Plastid', 'Plastid', 'Cell membrane', 'Cell inner membrane', 'Secreted', 'Cell inner membrane', 'Secreted', 'Cytoplasm', 'Cytoplasm', 'Secreted', 'Membrane', 'Cell inner membrane', 'Cell inner membrane', 'Cell inner membrane', 'Cell inner membrane', 'Cell outer membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Plastid', 'Cytoplasm', 'Cell inner membrane', 'Plastid', 'Endoplasmic reticulum membrane', 'Nucleus', 'Cell membrane', 'Lysosome membrane', 'Cytoplasm', 'Cytoplasm', 'Lysosome membrane', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Membrane', 'Cytoplasm', 'Cell membrane', 'Mitochondrion', 'Secreted', 'Virion', 'Cell membrane', 'Plastid', 'Lysosome membrane', 'Secreted', 'Secreted', 'Cytoplasm']","[13, 29, 29, 13, 13, 13, 13, 13, 29, 29, 29, 13, 13, 13, 13, 13, 13, 13, 29, 29, 29, 29, 13, 13, 29, 29, 29, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 29, 29, 29, 29, 29, 29, 13, 13, 13, 29, 29, 13, 13, 13, 29, 13, 13, 13, 13, 29, 29, 13, 13, 13, 13, 29, 13, 29, 29, 29, 29]","[18, 34, 34, 18, 18, 18, 18, 18, 34, 34, 34, 18, 18, 18, 18, 18, 18, 18, 34, 34, 34, 34, 18, 18, 34, 34, 34, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 34, 34, 34, 34, 34, 34, 18, 18, 18, 34, 34, 18, 18, 18, 34, 18, 18, 18, 18, 34, 34, 18, 18, 18, 18, 34, 18, 34, 34, 34, 34]",Endoplasmic.reticulum
"['TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN', 'TPEVN']","[49, 116, 191, 464, 62, 62, 1097, 1238, 145, 173, 116, 20, 331, 116, 116, 116, 46, 249, 351, 111, 111, 796, 253, 595, 774, 776, 900, 36, 111, 111, 151, 227, 49, 49, 49, 124, 116, 63, 39, 20, 20, 20, 20, 20, 20, 20, 333, 111, 62, 62, 111, 543, 314, 314, 197, 245, 796, 796, 796, 461, 900, 983]","[53, 120, 195, 468, 66, 66, 1101, 1242, 149, 177, 120, 24, 335, 120, 120, 120, 50, 253, 355, 115, 115, 800, 257, 599, 778, 780, 904, 40, 115, 115, 155, 231, 53, 53, 53, 128, 120, 67, 43, 24, 24, 24, 24, 24, 24, 24, 337, 115, 66, 66, 115, 547, 318, 318, 201, 249, 800, 800, 800, 465, 904, 987]","['Secreted', 'Nucleus speckle', 'Cell membrane', 'Golgi apparatus', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Chromosome', 'Secreted', 'Membrane', 'Secreted', 'Nucleus speckle', 'Secreted', 'Cytoplasm', 'Nucleus speckle', 'Nucleus speckle', 'Nucleus speckle', 'Cell membrane', 'Nucleus', 'Cytoplasm', 'Host endoplasmic reticulum membrane', 'Host membrane', 'Cell inner membrane', 'Cell inner membrane', 'Mitochondrion membrane', 'Cytoplasm', 'Nucleus', 'Virion tegument', 'Cytoplasm', 'Host endoplasmic reticulum membrane', 'Host membrane', 'Cytoplasm', 'Cell inner membrane', 'Secreted', 'Secreted', 'Secreted', 'Membrane', 'Nucleus speckle', 'Cytoplasm', 'Cytoplasm', 'Secreted', 'Secreted', 'Secreted', 'Secreted', 'Secreted', 'Secreted', 'Secreted', 'Cell membrane', 'Host endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Host membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Cell inner membrane', 'Cell inner membrane', 'Cell inner membrane', 'Cell inner membrane', 'Cytoplasm', 'Virion tegument', 'Cell membrane']","[190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190, 190]","[195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195, 195]",Lysosome/Vacuole
"['MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE', 'MATSE']","[1, 6, 415, 377, 89, 191, 197, 204, 368, 103, 341, 340, 415, 415, 389, 389, 1, 387, 415, 1, 431, 204, 494, 1, 538, 273, 1, 1, 1, 1, 365, 365, 415, 17, 145, 118, 1, 1, 39, 1, 191, 1, 130, 114, 120, 120, 20, 177, 84, 210, 182, 1, 1, 172, 375, 415, 498, 498, 273, 273, 273, 273, 300, 1, 544, 377, 377, 93, 629, 190, 167, 167]","[5, 10, 419, 381, 93, 195, 201, 208, 372, 107, 345, 344, 419, 419, 393, 393, 5, 391, 419, 5, 435, 208, 498, 5, 542, 277, 5, 5, 5, 5, 369, 369, 419, 21, 149, 122, 5, 5, 43, 5, 195, 5, 134, 118, 124, 124, 24, 181, 88, 214, 186, 5, 5, 176, 379, 419, 502, 502, 277, 277, 277, 277, 304, 5, 548, 381, 381, 97, 633, 194, 171, 171]","['Cytoplasm', 'Cell membrane', 'Cell junction', 'Cell junction', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell junction', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Golgi apparatus membrane', 'Cell junction', 'Membrane', 'Nucleus', 'Cytoplasm', 'Membrane', 'Cytoplasmic vesicle', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Membrane', 'Host nucleus', 'Cell junction', 'Cell junction', 'Cytoplasm', 'Secreted', 'Cytoplasm', 'Membrane', 'Cytoplasm', 'Cell membrane', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Virion', 'Virion', 'Virion', 'Virion', 'Perikaryon', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Cell junction', 'Cell junction', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Host cytoplasm', 'Endomembrane system', 'Cell junction', 'Cell junction', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Fimbrium', 'Fimbrium']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",Cell.membrane
['AQTLNSNPE'],[9],[17],['Nucleus'],[8],[17],Endoplasmic.reticulum
"['MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI', 'MITKI']","[158, 530, 276, 97, 1, 223, 226, 778, 648, 59, 59, 59, 4, 97, 318, 1, 303, 321, 223, 223, 218, 218, 218, 218, 221, 223, 223, 223, 223, 223, 162, 120, 158, 293, 156, 181, 355]","[162, 534, 280, 101, 5, 227, 230, 782, 652, 63, 63, 63, 8, 101, 322, 5, 307, 325, 227, 227, 222, 222, 222, 222, 225, 227, 227, 227, 227, 227, 166, 124, 162, 297, 160, 185, 359]","['Cytoplasm', 'Nucleus', 'Membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Cell membrane', 'Secreted', 'Secreted', 'Secreted', 'Secreted', 'Nucleus', 'Cytoplasm', 'Secreted', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell inner membrane', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Virion', 'Nucleus']","[58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58, 58]","[63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63]",Endoplasmic.reticulum
['QTTQNGR'],[67],[73],['Endoplasmic reticulum lumen'],[66],[73],Lysosome/Vacuole
"['NLTEAPHN', 'NLTEAPHN', 'NLTEAPHN', 'NLTEAPHN', 'DHNHI', 'ANTTF', 'ANTTF', 'ANTTF', 'ANTTF', 'ANTTF', 'TGTMA', 'TGTMA', 'TGTMA', 'TGTMA', 'ANTTF', 'DHNHI', 'DHNHI', 'DHNHI', 'TGTMA', 'TGTMA', 'ANTTF', 'TGTMA', 'TGTMA', 'TGTMA', 'TGTMA', 'ANTTF', 'ANTTF', 'ANTTF', 'ANTTF', 'ANTTF', 'ANTTF', 'TGTMA', 'TGTMA', 'ANTTF', 'TGTMA', 'TGTMA', 'TGTMA', 'ANTTF', 'ANTTF', 'ANTTF', 'ANTTF', 'ANTTF', 'DHNHI', 'DHNHI', 'ANTTF', 'ANTTF', 'ANTTF', 'ANTTF', 'DHNHI', 'DHNHI', 'DHNHI', 'DHNHI', 'TGTMA', 'TGTMA', 'TGTMA', 'TGTMA', 'TGTMA', 'TGTMA', 'TGTMA', 'ANTTF', 'TGTMA', 'ANTTF', 'ANTTF', 'ANTTF', 'TGTMA', 'TGTMA', 'ANTTF']","[56, 56, 56, 56, 4, 327, 327, 296, 11, 128, 424, 92, 127, 178, 438, 93, 93, 93, 189, 67, 72, 37, 226, 425, 424, 162, 239, 255, 381, 135, 8, 337, 134, 959, 168, 169, 525, 438, 271, 197, 272, 272, 97, 112, 51, 26, 26, 26, 324, 93, 93, 93, 162, 67, 23, 168, 178, 169, 168, 148, 109, 115, 200, 295, 346, 331, 106]","[63, 63, 63, 63, 8, 331, 331, 300, 15, 132, 428, 96, 131, 182, 442, 97, 97, 97, 193, 71, 76, 41, 230, 429, 428, 166, 243, 259, 385, 139, 12, 341, 138, 963, 172, 173, 529, 442, 275, 201, 276, 276, 101, 116, 55, 30, 30, 30, 328, 97, 97, 97, 166, 71, 27, 172, 182, 173, 172, 152, 113, 119, 204, 299, 350, 335, 110]","['Cell membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cell junction', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Mitochondrion', 'Mitochondrion', 'Membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Plastid', 'Cytoplasm', 'Nucleus', 'Cell membrane', 'Cell membrane', 'Fimbrium', 'Plastid', 'Secreted', 'Plastid', 'Nucleus', 'Mitochondrion', 'Cytoplasm', 'Nucleus', 'Plastid', 'Membrane', 'Membrane', 'Cytoplasm', 'Cell membrane', 'Virion', 'Secreted', 'Virion', 'Virion', 'Cell membrane', 'Plastid', 'Mitochondrion membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Periplasm', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Membrane', 'Membrane', 'Membrane', 'Cellular thylakoid membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Cell membrane', 'Secreted']","[55, 55, 55, 55, 96, 128, 128, 128, 128, 128, 430, 430, 430, 430, 128, 96, 96, 96, 430, 430, 128, 430, 430, 430, 430, 128, 128, 128, 128, 128, 128, 430, 430, 128, 430, 430, 430, 128, 128, 128, 128, 128, 96, 96, 128, 128, 128, 128, 96, 96, 96, 96, 430, 430, 430, 430, 430, 430, 430, 128, 430, 128, 128, 128, 430, 430, 128]","[63, 63, 63, 63, 101, 133, 133, 133, 133, 133, 435, 435, 435, 435, 133, 101, 101, 101, 435, 435, 133, 435, 435, 435, 435, 133, 133, 133, 133, 133, 133, 435, 435, 133, 435, 435, 435, 133, 133, 133, 133, 133, 101, 101, 133, 133, 133, 133, 101, 101, 101, 101, 435, 435, 435, 435, 435, 435, 435, 133, 435, 133, 133, 133, 435, 435, 133]",Endoplasmic.reticulum
"['LTMNSGG', 'LTNTS', 'PNNNN', 'PNNNN', 'PNNNN', 'LTNTS', 'LTNTS', 'LTNTS', 'PNNNN', 'PNNNN', 'PNNNN', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'PNNNN', 'PNNNN', 'PNNNN', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'PNNNN', 'LTNTS', 'LTNTS', 'LTNTS', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'PNNNN', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS', 'LTNTS']","[101, 133, 59, 256, 163, 237, 402, 383, 691, 604, 19, 426, 67, 338, 289, 738, 752, 717, 479, 479, 39, 39, 917, 711, 182, 181, 324, 732, 733, 735, 1753, 2598, 2621, 69, 149, 31, 48, 243, 140, 87, 257, 364, 121, 206, 158, 314, 151, 135, 242, 243, 243, 243, 92, 327, 332, 303, 163, 113, 71, 244, 151, 151, 338, 273, 110, 334, 412, 624, 328, 649, 55, 845, 201, 648, 238, 584, 601, 397, 55, 55, 67, 513]","[107, 137, 63, 260, 167, 241, 406, 387, 695, 608, 23, 430, 71, 342, 293, 742, 756, 721, 483, 483, 43, 43, 921, 715, 186, 185, 328, 736, 737, 739, 1757, 2602, 2625, 73, 153, 35, 52, 247, 144, 91, 261, 368, 125, 210, 162, 318, 155, 139, 246, 247, 247, 247, 96, 331, 336, 307, 167, 117, 75, 248, 155, 155, 342, 277, 114, 338, 416, 628, 332, 653, 59, 849, 205, 652, 242, 588, 605, 401, 59, 59, 71, 517]","['Cell membrane', 'Cell membrane', 'Cytoplasm', 'Secreted', 'Lysosome membrane', 'Cytoplasm', 'Membrane', 'Membrane', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Nucleus', 'Membrane', 'Nucleus envelope', 'Cell membrane', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Membrane', 'Cytoplasmic vesicle', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Mitochondrion', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell junction', 'Golgi apparatus', 'Golgi apparatus', 'Nucleus', 'Cell membrane', 'Secreted', 'Periplasm', 'Cell membrane', 'Nucleus', 'Nucleus', 'Nucleus', 'Cell membrane', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Secreted', 'Endoplasmic reticulum', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Plastid', 'Lysosome membrane', 'Membrane', 'Nucleus', 'Cell junction', 'Cell membrane', 'Cell membrane', 'Cell membrane', 'Membrane', 'Secreted', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Endosome membrane', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Membrane', 'Virion', 'Cytoplasm', 'Cell membrane', 'Cell membrane', 'Nucleus', 'Cell membrane']","[100, 145, 131, 131, 131, 145, 145, 145, 131, 131, 131, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 145, 131, 131, 131, 145, 145, 145, 145, 145, 145, 131, 145, 145, 145, 131, 131, 131, 131, 131, 131, 131, 145, 145, 145, 145, 131, 131, 131, 131, 131, 131, 131, 131, 131, 131, 145, 145, 145, 145, 145, 145, 145, 131, 131, 131, 131, 131, 131, 131, 131, 131, 145, 145, 145, 145, 145, 145, 145, 145]","[107, 150, 136, 136, 136, 150, 150, 150, 136, 136, 136, 150, 150, 150, 150, 150, 150, 150, 150, 150, 150, 150, 150, 150, 136, 136, 136, 150, 150, 150, 150, 150, 150, 136, 150, 150, 150, 136, 136, 136, 136, 136, 136, 136, 150, 150, 150, 150, 136, 136, 136, 136, 136, 136, 136, 136, 136, 136, 150, 150, 150, 150, 150, 150, 150, 136, 136, 136, 136, 136, 136, 136, 136, 136, 150, 150, 150, 150, 150, 150, 150, 150]",Endoplasmic.reticulum
"['EAAYQT', 'EAAYQT', 'EAAYQT', 'EAAYQT', 'EAAYQT']","[169, 167, 169, 116, 125]","[174, 172, 174, 121, 130]","['Mitochondrion', 'Mitochondrion', 'Mitochondrion', 'Mitochondrion', 'Mitochondrion']","[168, 168, 168, 168, 168]","[174, 174, 174, 174, 174]",Endoplasmic.reticulum
