subsequence,sprot_start,sprot_end,sprot_loc,dl_start,dl_end,dl_loc
"['MST', 'QRR', 'RLP', 'STH', 'STH', 'STH', 'MST', 'STH', 'STH', 'STH', 'STH', 'MST', 'MST', 'PSC', 'RLP', 'RLP', 'MST', 'RLP', 'MST', 'RLP', 'STH', 'MST', 'RLP', 'RLP', 'RLP', 'RLP', 'MST', 'STH', 'STH', 'RLP', 'STH', 'RLP', 'RLP', 'RLP', 'MST', 'MST', 'MST', 'AFIS', 'MST', 'STH', 'MST', 'MST', 'STH', 'MST', 'PSC', 'STH', 'STH', 'STH', 'STH', 'STH', 'STH', 'STH', 'PSC', 'RLP', 'RLP', 'RLP', 'TLP', 'RLP', 'STH', 'STH', 'STH', 'STH', 'MST', 'PSC', 'RLP', 'MST', 'TLP', 'RLP', 'TLP', 'STH', 'MST', 'MST', 'STH', 'STH', 'STH', 'RLP', 'RLP', 'STH', 'RLP', 'RLP', 'STH', 'STH', 'RLP', 'MST', 'MST', 'STH', 'RLP', 'RLP']","[1, 25, 90, 255, 2892, 732, 2530, 1237, 1227, 1563, 256, 2609, 2526, 927, 841, 857, 14508, 419, 292, 494, 4097, 2586, 493, 442, 447, 24, 863, 3485, 1099, 471, 858, 4056, 1037, 1911, 1774, 1483, 4995, 4, 1195, 1022, 1048, 3486, 2544, 1322, 232, 479, 1155, 1128, 43, 43, 43, 44, 1022, 898, 608, 350, 6, 499, 710, 1220, 906, 1787, 690, 819, 310, 690, 135, 177, 135, 380, 2140, 968, 849, 4042, 1784, 230, 341, 1533, 900, 746, 376, 1688, 140, 1735, 913, 2864, 1618, 39]","[3, 27, 92, 257, 2894, 734, 2532, 1239, 1229, 1565, 258, 2611, 2528, 929, 843, 859, 14510, 421, 294, 496, 4099, 2588, 495, 444, 449, 26, 865, 3487, 1101, 473, 860, 4058, 1039, 1913, 1776, 1485, 4997, 7, 1197, 1024, 1050, 3488, 2546, 1324, 234, 481, 1157, 1130, 45, 45, 45, 46, 1024, 900, 610, 352, 8, 501, 712, 1222, 908, 1789, 692, 821, 312, 692, 137, 179, 137, 382, 2142, 970, 851, 4044, 1786, 232, 343, 1535, 902, 748, 378, 1690, 142, 1737, 915, 2866, 1620, 41]","['Cytoplasm', 'Cytoplasm', 'Nucleus', 'Cell membrane', 'Nucleus outer membrane', 'Secreted', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus speckle', 'Cell membrane', 'Golgi apparatus', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Cell membrane', 'Nucleus', 'Golgi apparatus', 'Cell membrane', 'Cell projection', 'Secreted', 'Cytoplasm', 'Golgi apparatus membrane', 'Cell membrane', 'Cytoplasm', 'Nucleus', 'Cell membrane', 'Nucleus', 'Nucleus membrane', 'Cytoplasm', 'Cell junction', 'Cell membrane', 'Nucleus outer membrane', 'Mitochondrion matrix', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Cytoplasm', 'Lysosome membrane', 'Cytoplasm', 'Nucleus', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Nucleus', 'Cell junction', 'Cytoplasm', 'Cell membrane', 'Cell membrane', 'Cell projection', 'Cell membrane', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Golgi apparatus membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Secreted', 'Membrane', 'Cell membrane', 'Cell membrane', 'Nucleus', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Membrane', 'Membrane', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Nucleus', 'Nucleus', 'Secreted', 'Nucleus']","[0, 26, 14, 4, 4, 4, 0, 4, 4, 4, 4, 0, 0, 23, 14, 14, 0, 14, 0, 14, 4, 0, 14, 14, 14, 14, 0, 4, 4, 14, 4, 14, 14, 14, 0, 0, 0, 54, 0, 4, 0, 0, 4, 0, 23, 4, 4, 4, 4, 4, 4, 4, 23, 14, 14, 14, 30, 14, 4, 4, 4, 4, 0, 23, 14, 0, 30, 14, 30, 4, 0, 0, 4, 4, 4, 14, 14, 4, 14, 14, 4, 4, 14, 0, 0, 4, 14, 14]","[3, 29, 17, 7, 7, 7, 3, 7, 7, 7, 7, 3, 3, 26, 17, 17, 3, 17, 3, 17, 7, 3, 17, 17, 17, 17, 3, 7, 7, 17, 7, 17, 17, 17, 3, 3, 3, 58, 3, 7, 3, 3, 7, 3, 26, 7, 7, 7, 7, 7, 7, 7, 26, 17, 17, 17, 33, 17, 7, 7, 7, 7, 3, 26, 17, 3, 33, 17, 33, 7, 3, 3, 7, 7, 7, 17, 17, 7, 17, 17, 7, 7, 17, 3, 3, 7, 17, 17]",Cytoplasm
[],[],[],[],[],[],Cytoplasm
"['MAL', 'MAL', 'MAL', 'FKK', 'FKK', 'MAL', 'ARR', 'MAL', 'MAL', 'MAL', 'MAL', 'MAL', 'FKK', 'ARR', 'FKK', 'FKK', 'EKL', 'MAL', 'FKK', 'FKK', 'FKK', 'FKK', 'MAL', 'FKK', 'ARR', 'MAL', 'MAL', 'MAL', 'MAL', 'GIC', 'MAL', 'FKK', 'ARR', 'EKL', 'EKL', 'FKK', 'MAL', 'MAL', 'FKK', 'MAL', 'MAL', 'MAL', 'GIC', 'MAL', 'MAL', 'FKK', 'ARR', 'MAL', 'MAL', 'MAL', 'ARR', 'ARR', 'MAL', 'ARR', 'MAL', 'MAL', 'FKK', 'MAL', 'LSCTK', 'GIC', 'MAL', 'MAL', 'MAL', 'GIC', 'EKL', 'MAL', 'ARR', 'EKL', 'ARR', 'EKL', 'MAL', 'EKL', 'GIC', 'GIC', 'ARR', 'FKK', 'ARR', 'MAL', 'MAL', 'GIC', 'EKL', 'MAL', 'ARR', 'MAL', 'MAL', 'MAL', 'ARR', 'FKK', 'GIC', 'FKK', 'MAL', 'MAL', 'ARR']","[1, 1, 5579, 1711, 1705, 474, 4074, 2701, 1598, 4261, 2951, 3789, 331, 1143, 562, 7603, 521, 423, 602, 289, 468, 694, 3829, 2281, 506, 3747, 1151, 129, 4237, 225, 944, 1023, 1381, 561, 5190, 1466, 1798, 1815, 511, 1597, 474, 3676, 973, 1992, 2949, 1327, 2365, 2658, 970, 219, 1366, 2190, 1218, 2593, 2450, 141, 2129, 1427, 2992, 225, 1, 2092, 160, 996, 1053, 685, 16, 413, 63, 2287, 3177, 413, 388, 627, 1232, 728, 2666, 1292, 177, 676, 389, 2736, 1157, 693, 402, 200, 737, 6617, 563, 803, 872, 190, 1132]","[3, 3, 5581, 1713, 1707, 476, 4076, 2703, 1600, 4263, 2953, 3791, 333, 1145, 564, 7605, 523, 425, 604, 291, 470, 696, 3831, 2283, 508, 3749, 1153, 131, 4239, 227, 946, 1025, 1383, 563, 5192, 1468, 1800, 1817, 513, 1599, 476, 3678, 975, 1994, 2951, 1329, 2367, 2660, 972, 221, 1368, 2192, 1220, 2595, 2452, 143, 2131, 1429, 2996, 227, 3, 2094, 162, 998, 1055, 687, 18, 415, 65, 2289, 3179, 415, 390, 629, 1234, 730, 2668, 1294, 179, 678, 391, 2738, 1159, 695, 404, 202, 739, 6619, 565, 805, 874, 192, 1134]","['Plastid', 'Plastid', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell projection', 'Secreted', 'Golgi apparatus', 'Nucleus outer membrane', 'Cytoplasm', 'Secreted', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Nucleus outer membrane', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Golgi apparatus', 'Cell membrane', 'Cytoplasm', 'Cytoplasmic vesicle membrane', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Nucleus', 'Endoplasmic reticulum', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Secreted', 'Nucleus outer membrane', 'Cytoplasm', 'Cell junction', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Membrane', 'Late endosome membrane', 'Nucleus outer membrane', 'Cytoplasm', 'Membrane', 'Mitochondrion', 'Cell membrane', 'Cytoplasm', 'Cell membrane', 'Apical cell membrane', 'Cell membrane', 'Membrane', 'Membrane', 'Cytoplasm', 'Nucleus', 'Endoplasmic reticulum membrane', 'Golgi apparatus membrane', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Membrane', 'Nucleus', 'Nucleus inner membrane', 'Nucleus', 'Cell membrane', 'Golgi apparatus membrane', 'Cytoplasm', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Endosome membrane', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Mitochondrion', 'Secreted', 'Secreted', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell junction']","[0, 0, 0, 26, 26, 0, 42, 0, 0, 0, 0, 0, 26, 42, 26, 26, 63, 0, 26, 26, 26, 26, 0, 26, 42, 0, 0, 0, 0, 16, 0, 26, 42, 63, 63, 26, 0, 0, 26, 0, 0, 0, 16, 0, 0, 26, 42, 0, 0, 0, 42, 42, 0, 42, 0, 0, 26, 0, 53, 16, 0, 0, 0, 16, 63, 0, 42, 63, 42, 63, 0, 63, 16, 16, 42, 26, 42, 0, 0, 16, 63, 0, 42, 0, 0, 0, 42, 26, 16, 26, 0, 0, 42]","[3, 3, 3, 29, 29, 3, 45, 3, 3, 3, 3, 3, 29, 45, 29, 29, 66, 3, 29, 29, 29, 29, 3, 29, 45, 3, 3, 3, 3, 19, 3, 29, 45, 66, 66, 29, 3, 3, 29, 3, 3, 3, 19, 3, 3, 29, 45, 3, 3, 3, 45, 45, 3, 45, 3, 3, 29, 3, 58, 19, 3, 3, 3, 19, 66, 3, 45, 66, 45, 66, 3, 66, 19, 19, 45, 29, 45, 3, 3, 19, 66, 3, 45, 3, 3, 3, 45, 29, 19, 29, 3, 3, 45]",Plastid
"['ASS', 'ASS', 'AFL', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'PCS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'AFL', 'LLV', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS', 'ASS']","[4, 4, 8, 124, 80, 796, 124, 338, 1724, 653, 20, 509, 56, 887, 1997, 580, 1945, 908, 200, 351, 33, 352, 358, 3328, 57, 275, 2076, 1068, 6, 220, 1075, 473, 1735, 3044, 198, 873, 365, 103, 1463, 2229, 874, 1250, 61, 2552, 152, 1410, 1738, 284, 1075, 12, 1090, 1066, 540, 1669, 614, 138, 422, 841, 2078, 138, 164, 42, 705, 561, 516, 1252, 1273, 377, 560, 1597, 146, 3634, 161, 1307, 620, 24, 479, 3337, 1139, 1870, 387, 1044, 1808, 1870, 147, 201, 1333, 160, 412, 47, 770]","[6, 6, 10, 126, 82, 798, 126, 340, 1726, 655, 22, 511, 58, 889, 1999, 582, 1947, 910, 202, 353, 35, 354, 360, 3330, 59, 277, 2078, 1070, 8, 222, 1077, 475, 1737, 3046, 200, 875, 367, 105, 1465, 2231, 876, 1252, 63, 2554, 154, 1412, 1740, 286, 1077, 14, 1092, 1068, 542, 1671, 616, 140, 424, 843, 2080, 140, 166, 44, 707, 563, 518, 1254, 1275, 379, 562, 1599, 148, 3636, 163, 1309, 622, 26, 481, 3339, 1141, 1872, 389, 1046, 1810, 1872, 149, 203, 1335, 162, 414, 49, 772]","['Cell membrane', 'Cell membrane', 'Cell membrane', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Cytoplasm', 'Nucleus', 'Membrane', 'Cytoplasm', 'Secreted', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cell membrane', 'Mitochondrion', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cell membrane', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Membrane', 'Membrane', 'Nucleus outer membrane', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Secreted', 'Membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Golgi apparatus', 'Membrane', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Secreted', 'Nucleus outer membrane', 'Nucleus', 'Mitochondrion outer membrane', 'Membrane', 'Cytoplasm', 'Nucleus', 'Cell membrane', 'Cell junction', 'Cytoplasm', 'Cell junction', 'Nucleus', 'Nucleus', 'Membrane', 'Cell membrane', 'Membrane', 'Nucleus', 'Membrane', 'Cell junction', 'Membrane', 'Nucleus', 'Cell membrane', 'Nucleus', 'Cytoplasm', 'Lysosome membrane', 'Sarcoplasmic reticulum membrane', 'Nucleus', 'Cytoplasm', 'Membrane', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Cell membrane', 'Apical cell membrane', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Nucleus outer membrane', 'Nucleus', 'Cytoplasm', 'Secreted']","[3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 25, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 18, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[6, 6, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 28, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 10, 21, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",Cell.membrane
[],[],[],[],[],[],Lysosome/Vacuole
[],[],[],[],[],[],Plastid
[],[],[],[],[],[],Mitochondrion
"['CSSP', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'CSSP', 'CSSP', 'CSSP', 'LLS', 'LSS', 'LLS', 'LLS', 'CSSP', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LSS', 'LSS', 'LLS', 'LSS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'CSSP', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LSS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LLS', 'LSS', 'LLS', 'LLS', 'LLS', 'LSS', 'LLS']","[7, 3278, 3284, 36, 36, 1615, 3362, 36, 4131, 18, 1931, 316, 1655, 206, 412, 413, 33, 104, 722, 75, 1665, 7607, 726, 592, 679, 209, 67, 1109, 1809, 422, 662, 334, 1663, 1031, 988, 183, 1088, 1470, 730, 1059, 1109, 1059, 1586, 22, 750, 332, 162, 2072, 592, 557, 151, 1649, 3525, 2760, 2182, 215, 333, 446, 2986, 82, 984, 512, 2369, 2019, 2029, 2612, 2649, 512, 1116, 1457, 644, 422, 747, 67, 935, 919, 460, 1852, 588, 1140, 30, 3573, 801, 2029, 398, 2004, 4211, 1411, 1529, 551, 974, 631]","[10, 3280, 3286, 38, 38, 1617, 3364, 38, 4133, 20, 1933, 318, 1657, 208, 415, 416, 36, 106, 724, 77, 1667, 7610, 728, 594, 681, 211, 69, 1111, 1811, 424, 664, 336, 1665, 1033, 990, 185, 1090, 1472, 732, 1061, 1111, 1061, 1588, 24, 752, 334, 164, 2074, 594, 559, 153, 1651, 3528, 2762, 2184, 217, 335, 448, 2988, 84, 986, 514, 2371, 2021, 2031, 2614, 2651, 514, 1118, 1459, 646, 424, 749, 69, 937, 921, 462, 1854, 590, 1142, 32, 3575, 803, 2031, 400, 2006, 4213, 1413, 1531, 553, 976, 633]","['Plastid', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Membrane', 'Nucleus', 'Cell membrane', 'Membrane', 'Cytoplasm', 'Cell membrane', 'Late endosome membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cell junction', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Membrane', 'Sarcoplasmic reticulum membrane', 'Membrane', 'Nucleus', 'Nucleus outer membrane', 'Cytoplasm', 'Mitochondrion outer membrane', 'Cytoplasm', 'Nucleus', 'Cell projection', 'Cytoplasm', 'Cell junction', 'Apical cell membrane', 'Membrane', 'Cell membrane', 'Nucleus', 'Cell membrane', 'Cytoplasm', 'Nucleus outer membrane', 'Nucleus', 'Cell projection', 'Cytoplasm', 'Apical cell membrane', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Cell membrane', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Nucleus', 'Membrane', 'Secreted', 'Nucleus outer membrane', 'Membrane', 'Sarcoplasmic reticulum membrane', 'Sarcoplasmic reticulum membrane', 'Cytoplasm', 'Cell membrane', 'Nucleus outer membrane', 'Nucleus', 'Cell membrane', 'Secreted', 'Membrane', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Membrane', 'Secreted', 'Cytoplasm', 'Membrane', 'Nucleus', 'Cytoplasm', 'Cell membrane', 'Nucleus', 'Golgi apparatus', 'Cytoplasm', 'Nucleus', 'Nucleus']","[6, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 6, 6, 6, 22, 35, 22, 22, 6, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 35, 35, 22, 35, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 6, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 35, 22, 22, 22, 22, 22, 22, 35, 22, 22, 22, 35, 22]","[10, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 10, 10, 10, 25, 38, 25, 25, 10, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 38, 38, 25, 38, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 10, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 38, 25, 25, 25, 25, 25, 25, 38, 25, 25, 25, 38, 25]",Plastid
"['MDWK', 'TIP', 'TIP', 'KLSSK', 'TIP', 'TIP', 'LCS', 'MDWK', 'TIP', 'TIP', 'TIP', 'KLSSK', 'TIP', 'LCS', 'TIP', 'PFK', 'PFK', 'PFK', 'TIP', 'PFK', 'IVP', 'LPNSP', 'TIP', 'TIP', 'TIP', 'TIP', 'TIP', 'IVP', 'TIP', 'LCS', 'PFK', 'PFK', 'TIP', 'TIP', 'PFK', 'TIP', 'IVP', 'TIP', 'LCS', 'LPNSP', 'TIP', 'IVP', 'IVP', 'TIP', 'TIP', 'LPNSP', 'PFK', 'TIP', 'TIP', 'TIP', 'TIP', 'PFK', 'LYL', 'IVP', 'PFK', 'TIP', 'TIP', 'LPNSP', 'TIP', 'PFK', 'PFK', 'PFK', 'IVP', 'TIP', 'LCS', 'TIP', 'TIP', 'IVP', 'LYL', 'PFK', 'TIP', 'LCS', 'TIP', 'TIP', 'PFK', 'TIP', 'RLPE', 'TIP', 'LCS', 'TIP', 'LCS', 'LCS', 'LCS', 'LCS', 'TIP', 'LYL', 'TIP', 'PFK', 'TIP', 'TIP', 'PFK', 'TIP', 'IVP', 'IVP']","[4, 2138, 1021, 490, 2066, 3552, 1115, 681, 18, 997, 4036, 3614, 66, 1046, 29, 2295, 2296, 2304, 2003, 2024, 1734, 2539, 2949, 1024, 1641, 1695, 1309, 8576, 13094, 925, 54, 2381, 2245, 97, 305, 3540, 195, 1686, 2371, 1165, 350, 550, 1422, 1763, 235, 304, 830, 235, 2676, 625, 404, 2986, 306, 4569, 332, 1357, 366, 1167, 1292, 1029, 2600, 2863, 149, 773, 904, 2649, 3988, 570, 1200, 1115, 2660, 1274, 1872, 1291, 1603, 2214, 1815, 2222, 583, 148, 1274, 619, 291, 906, 1088, 1477, 2564, 2873, 1355, 2441, 2596, 322, 4569, 2370]","[7, 2140, 1023, 494, 2068, 3554, 1117, 684, 20, 999, 4038, 3618, 68, 1048, 31, 2297, 2298, 2306, 2005, 2026, 1736, 2543, 2951, 1026, 1643, 1697, 1311, 8578, 13096, 927, 56, 2383, 2247, 99, 307, 3542, 197, 1688, 2373, 1169, 352, 552, 1424, 1765, 237, 308, 832, 237, 2678, 627, 406, 2988, 308, 4571, 334, 1359, 368, 1171, 1294, 1031, 2602, 2865, 151, 775, 906, 2651, 3990, 572, 1202, 1117, 2662, 1276, 1874, 1293, 1605, 2216, 1818, 2224, 585, 150, 1276, 621, 293, 908, 1090, 1479, 2566, 2875, 1357, 2443, 2598, 324, 4571, 2372]","['Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cell membrane', 'Cytoplasm', 'Cell projection', 'Nucleus', 'Membrane', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Cell junction', 'Cytoplasm', 'Cytoplasm', 'Membrane', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Cell projection', 'Sarcoplasmic reticulum membrane', 'Cytoplasm', 'Cell junction', 'Cytoplasm', 'Cytoplasm', 'Cell projection', 'Nucleus', 'Nucleus outer membrane', 'Cytoplasm', 'Cytoplasm', 'Mitochondrion outer membrane', 'Membrane', 'Golgi apparatus', 'Membrane', 'Cytoplasm', 'Nucleus outer membrane', 'Secreted', 'Cytoplasm', 'Cytoplasm', 'Nucleus', 'Cell membrane', 'Nucleus', 'Nucleus', 'Mitochondrion outer membrane', 'Sarcoplasmic reticulum membrane', 'Cytoplasm', 'Endoplasmic reticulum', 'Sarcoplasmic reticulum membrane', 'Cell junction', 'Golgi apparatus membrane', 'Membrane', 'Cytoplasm', 'Cell membrane', 'Apical cell membrane', 'Cytoplasm', 'Membrane', 'Cytoplasm', 'Nucleus', 'Cytoplasm', 'Golgi apparatus', 'Cytoplasmic vesicle', 'Nucleus', 'Membrane', 'Cytoplasm', 'Cell membrane', 'Apical cell membrane', 'Cytoplasm', 'Nucleus', 'Nucleus', 'Cytoplasm', 'Cell junction', 'Endoplasmic reticulum membrane', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Nucleus', 'Cytoplasm', 'Cytoplasm', 'Endoplasmic reticulum membrane', 'Nucleus', 'Early endosome membrane', 'Cell membrane', 'Golgi apparatus membrane', 'Peroxisome', 'Cell junction', 'Nucleus', 'Cell membrane', 'Cytoplasm', 'Cytoplasmic vesicle', 'Cytoplasm', 'Apical cell membrane', 'Cytoplasm']","[3, 27, 27, 19, 27, 27, 48, 3, 27, 27, 27, 19, 27, 48, 27, 31, 31, 31, 27, 31, 34, 14, 27, 27, 27, 27, 27, 34, 27, 48, 31, 31, 27, 27, 31, 27, 34, 27, 48, 14, 27, 34, 34, 27, 27, 14, 31, 27, 27, 27, 27, 31, 54, 34, 31, 27, 27, 14, 27, 31, 31, 31, 34, 27, 48, 27, 27, 34, 54, 31, 27, 48, 27, 27, 31, 27, 57, 27, 48, 27, 48, 48, 48, 48, 27, 54, 27, 31, 27, 27, 31, 27, 34, 34]","[7, 30, 30, 24, 30, 30, 51, 7, 30, 30, 30, 24, 30, 51, 30, 34, 34, 34, 30, 34, 37, 19, 30, 30, 30, 30, 30, 37, 30, 51, 34, 34, 30, 30, 34, 30, 37, 30, 51, 19, 30, 37, 37, 30, 30, 19, 34, 30, 30, 30, 30, 34, 57, 37, 34, 30, 30, 19, 30, 34, 34, 34, 37, 30, 51, 30, 30, 37, 57, 34, 30, 51, 30, 30, 34, 30, 61, 30, 51, 30, 51, 51, 51, 51, 30, 57, 30, 34, 30, 30, 34, 30, 37, 37]",Cytoplasm
[],[],[],[],[],[],Cytoplasm
