subsequence,sprot_start,sprot_end,sprot_loc,dl_start,dl_end,dl_loc
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
[],[],[],[],[],[],Mitochondrion
